食品番号,索引番号,食品名,エネルギー（Kcal）,タンパク質,脂質,炭水化物
01001,1,アマランサス 玄穀,343.0,12.7,6.0,64.9
01002,2,あわ 精白粒,346.0,11.2,4.4,69.7
01003,3,あわ あわもち,210.0,5.1,1.3,45.3
01004,4,えんばく オートミール,350.0,13.7,5.7,69.1
01005,5,おおむぎ 七分つき押麦,343.0,10.9,2.1,72.1
01006,6,おおむぎ 押麦 乾,329.0,6.7,1.5,78.3
01170,7,おおむぎ 押麦 めし,118.0,2.2,0.5,28.5
01007,8,おおむぎ 米粒麦,333.0,7.0,2.1,76.2
01008,9,おおむぎ 大麦めん 乾,343.0,12.9,1.7,68.0
01009,10,おおむぎ 大麦めん ゆで,121.0,4.8,0.6,24.3
01010,11,おおむぎ 麦こがし,368.0,12.5,5.0,77.1
01167,12,キヌア 玄穀,344.0,13.4,3.2,69.0
01011,13,きび 精白粒,353.0,11.3,3.3,70.9
01012,14,こむぎ ［玄穀］ 国産 普通,329.0,10.8,3.1,72.1
01013,15,こむぎ ［玄穀］ 輸入 軟質,344.0,10.1,3.3,75.2
01014,16,こむぎ ［玄穀］ 輸入 硬質,332.0,13.0,3.0,69.4
01015,17,こむぎ ［小麦粉］ 薄力粉 1等,349.0,8.3,1.5,75.8
01016,18,こむぎ ［小麦粉］ 薄力粉 2等,345.0,9.3,1.9,74.3
01018,19,こむぎ ［小麦粉］ 中力粉 1等,337.0,9.0,1.6,75.1
01019,20,こむぎ ［小麦粉］ 中力粉 2等,346.0,9.7,1.8,74.0
01020,21,こむぎ ［小麦粉］ 強力粉 1等,337.0,11.8,1.5,71.7
01021,22,こむぎ ［小麦粉］ 強力粉 2等,343.0,12.6,1.7,70.6
01023,23,こむぎ ［小麦粉］ 強力粉 全粒粉,320.0,12.8,2.9,68.2
01146,24,こむぎ ［小麦粉］ プレミックス粉 お好み焼き用,335.0,10.1,1.9,73.6
01024,25,こむぎ ［小麦粉］ プレミックス粉 ホットケーキ用,360.0,7.8,4.0,74.4
01147,26,こむぎ ［小麦粉］ プレミックス粉 から揚げ用,311.0,10.2,1.2,70.0
01025,27,こむぎ ［小麦粉］ プレミックス粉 天ぷら用,337.0,8.8,1.3,76.1
01171,28,こむぎ ［小麦粉］ プレミックス粉 天ぷら用 バッター,132.0,3.3,0.5,30.2
01172,29,こむぎ ［小麦粉］ プレミックス粉 天ぷら用 バッター 揚げ,588.0,4.3,47.7,37.0
01026,30,こむぎ ［パン類］ 角形食パン 食パン,248.0,8.9,4.1,46.4
01174,31,こむぎ ［パン類］ 角形食パン 焼き,269.0,9.7,4.5,50.6
01175,32,こむぎ ［パン類］ 角形食パン 耳を除いたもの,226.0,8.2,3.7,42.6
01176,33,こむぎ ［パン類］ 角形食パン 耳,273.0,9.7,4.5,50.8
01206,34,こむぎ ［パン類］ 食パン リーンタイプ,246.0,8.0,3.7,47.5
01207,35,こむぎ ［パン類］ 食パン リッチタイプ,256.0,7.8,6.0,45.6
01205,36,こむぎ ［パン類］ 山形食パン 食パン,246.0,7.8,3.5,47.9
01028,37,こむぎ ［パン類］ コッペパン,259.0,8.5,3.8,49.1
01030,38,こむぎ ［パン類］ 乾パン,386.0,9.5,4.4,78.8
01031,39,こむぎ ［パン類］ フランスパン,289.0,9.4,1.3,57.5
01032,40,こむぎ ［パン類］ ライ麦パン,252.0,8.4,2.2,52.7
01208,41,こむぎ ［パン類］ 全粒粉パン,251.0,7.9,5.7,45.5
01033,42,こむぎ ［パン類］ ぶどうパン,263.0,8.2,3.5,51.1
01034,43,こむぎ ［パン類］ ロールパン,309.0,10.1,9.0,48.6
01209,44,こむぎ ［パン類］ クロワッサン レギュラータイプ,406.0,6.5,20.4,51.5
01035,45,こむぎ ［パン類］ クロワッサン リッチタイプ,438.0,7.9,26.8,43.9
01210,46,こむぎ ［パン類］ くるみパン,292.0,8.2,12.6,38.7
01036,47,こむぎ ［パン類］ イングリッシュマフィン,224.0,8.1,3.6,40.8
01037,48,こむぎ ［パン類］ ナン,257.0,10.3,3.4,47.6
01148,49,こむぎ ［パン類］ ベーグル,270.0,9.6,2.0,54.6
01038,50,こむぎ ［うどん・そうめん類］ うどん 生,249.0,6.1,0.6,56.8
01039,51,こむぎ ［うどん・そうめん類］ うどん ゆで,95.0,2.6,0.4,21.6
01186,52,こむぎ ［うどん・そうめん類］ うどん 半生うどん,296.0,7.8,3.4,62.5
01041,53,こむぎ ［うどん・そうめん類］ 干しうどん 乾,333.0,8.5,1.1,71.9
01042,54,こむぎ ［うどん・そうめん類］ 干しうどん ゆで,117.0,3.1,0.5,25.8
01043,55,こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ 乾,333.0,9.5,1.1,72.7
01044,56,こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ ゆで,114.0,3.5,0.4,25.8
01045,57,こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ 乾,312.0,9.3,1.5,68.9
01046,58,こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ ゆで,119.0,3.5,0.6,25.5
01047,59,こむぎ ［中華めん類］ 中華めん 生,249.0,8.6,1.2,55.7
